Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760374985000,3,undefined,6.13911769337,0.26801457740502216,undefined,undefined,undefined,undefined,undefined,
1760374990000,4,undefined,6.13911769337,0.41778243722230546,undefined,undefined,undefined,undefined,undefined,
1760374995000,6,undefined,6.1362701173200005,0.772916988715412,undefined,undefined,undefined,undefined,undefined,
1760375000000,7,undefined,6.649352184649999,0.7192795927572653,undefined,undefined,undefined,undefined,undefined,
1760375005000,9,undefined,6.6852517557799995,0.9751340809361286,undefined,undefined,undefined,undefined,undefined,
1760375010000,10,undefined,7.318587664799999,1.3465920861818936,undefined,undefined,undefined,undefined,undefined,
1760375015000,10,undefined,7.293697052900001,1.5312372396896694,undefined,undefined,undefined,undefined,undefined,
1760375020000,10,undefined,7.268676988389998,1.5494267121165168,undefined,undefined,undefined,undefined,undefined,
1760375025000,10,undefined,7.23395466629,1.7671313567641862,undefined,undefined,undefined,undefined,undefined,
1760375030000,10,undefined,7.2096490408200005,1.6218278954398018,undefined,undefined,undefined,undefined,undefined,
1760375035000,10,undefined,7.1853434153499975,1.4587892049598832,undefined,undefined,undefined,undefined,undefined,
1760375040000,10,undefined,7.498128471039999,1.5726567414552317,undefined,undefined,undefined,undefined,undefined,
1760375045000,10,undefined,7.4868357034,1.5081439774783834,undefined,undefined,undefined,undefined,undefined,
1760375050000,10,undefined,7.472316430719999,1.5580874476579998,undefined,undefined,undefined,undefined,undefined,
1760375055000,10,undefined,7.461023663079998,1.5562688454430504,undefined,undefined,undefined,undefined,undefined,
1760375060000,10,undefined,7.453264688679999,1.4732189834789016,undefined,undefined,undefined,undefined,undefined,
1760375065000,10,undefined,7.4493467957199995,1.817355747387551,undefined,undefined,undefined,undefined,undefined,
1760375070000,10,undefined,7.44499358132,1.7242944005808147,undefined,undefined,undefined,undefined,undefined,
1760375075000,10,undefined,7.44194633124,1.5308419630796937,undefined,undefined,undefined,undefined,undefined,
1760375080000,10,undefined,7.43802843828,1.7178441056474125,undefined,undefined,undefined,undefined,undefined,
1760375085000,10,undefined,7.546526046639999,1.3701311411235075,undefined,undefined,undefined,undefined,undefined,
1760375090000,10,undefined,8.301818868499998,1.236221283609766,undefined,undefined,undefined,undefined,undefined,
1760375095000,10,undefined,8.214226931000004,1.7001700170017,undefined,undefined,undefined,undefined,undefined,
1760375100000,10,undefined,8.12663499350001,1.5526744817948916,undefined,undefined,undefined,undefined,undefined,
1760375105000,10,undefined,8.12663499350001,0.9860202824376836,undefined,undefined,undefined,undefined,undefined,
1760375110000,10,undefined,9.305167451599997,1.3054830287206265,undefined,undefined,undefined,undefined,undefined,
1760375115000,10,undefined,9.277902893179995,1.5274949083503053,undefined,undefined,undefined,undefined,undefined,
1760375120000,10,undefined,9.262755916280002,1.3424105858663342,undefined,undefined,undefined,undefined,undefined,
1760375125000,10,undefined,9.24390537769,1.202886928628709,undefined,undefined,undefined,undefined,undefined,
1760375130000,10,undefined,9.2378378809,1.5799348276883578,undefined,undefined,undefined,undefined,undefined,
1760375135000,10,undefined,9.232444550419999,1.7015313782404164,undefined,undefined,undefined,undefined,undefined,
1760375140000,10,undefined,9.22772538625,1.5102698348771646,undefined,undefined,undefined,undefined,undefined,
1760375145000,10,undefined,9.22300622208,1.4023840528899127,undefined,undefined,undefined,undefined,undefined,
1760375150000,10,undefined,9.21828705791,1.3565891472868217,undefined,undefined,undefined,undefined,undefined,
1760375155000,10,undefined,9.213567893739999,1.4655082173139324,undefined,undefined,undefined,undefined,undefined,
1760375160000,10,undefined,9.20750039695,1.589983106429494,undefined,undefined,undefined,undefined,undefined,
